id,first_name,last_name,gender,race,phone,country,email,eth_address,company_name,job,card_type,card_num,money
1,Burtie,McVee,Male,Comanche,8338583151,Indonesia,bmcvee0@photobucket.com,0xbb17dd4f4b75c5617ae6993674dec8f673c30405,Myworks,Actuary,visa,4466016664435497,$54790.90
2,Malinde,Effaunt,Female,Alaskan Athabascan,4058458897,Colombia,meffaunt1@jiathis.com,0x85d62fd70c8cde81ad209cff39e5d57cd109ad43,Livetube,Budget/Accounting Analyst IV,mastercard,5100130735718176,$36889.58
3,Brannon,Dudgeon,Male,Delaware,6411033531,Afghanistan,bdudgeon2@arstechnica.com,0xd8655105daa26b9e9643dfaa7838a18c8ae8b06f,Voonyx,Health Coach II,mastercard,5100176527049312,$5765.88
4,Gabi,Frackiewicz,Female,Salvadoran,7177461064,Portugal,gfrackiewicz3@google.it,0x7b5558fd8b76f2cbb7f10af9b124e8af55046d30,Fatz,Engineer I,mastercard,5002350119947139,$78735.83
5,Cecilio,Treasaden,Male,Japanese,2894095220,Cyprus,ctreasaden4@wikispaces.com,0x0ddab404972ffaf64dbc91f0e23495c3046ef516,Skyba,Environmental Specialist,mastercard,5002357687822974,$30938.07
6,Clywd,Laidlaw,Non-binary,Yuman,5878744735,Philippines,claidlaw5@last.fm,0xcbd8a825226f0127d5f0493ab5058f3d5d9d3f3c,Trilith,Senior Sales Associate,mastercard,5100135070555794,$71752.73
7,Frannie,Deakan,Male,Ute,6254467110,Poland,fdeakan6@theatlantic.com,0x2eafad4fe793fed237c329d1f130a62ce0939466,Realbuzz,Sales Associate,mastercard,5010120537024310,$58853.05
8,Karlotte,Howgego,Bigender,Thai,4582857344,China,khowgego7@sohu.com,0xd5d0da99102ddc10d5cca58ce87a637c3100852f,Centimia,Senior Quality Engineer,mastercard,5002356764432533,$61168.50
9,Randall,Kasbye,Male,Paraguayan,3785639988,China,rkasbye8@ustream.tv,0xca63cbc3e4ddd28ba204f0923f1e875da04fdbab,Jabbersphere,Chemical Engineer,mastercard,5544553028048007,$93352.67
10,Casey,Spurett,Female,Indonesian,6362815091,Poland,cspurett9@quantcast.com,0x47d6768587fd028403bc2654345fa051736fe47d,Nlounge,Office Assistant II,visa,4227176010514161,$48301.43
